大陆超清,#genre#
云南卫视,http://121.31.30.91:8081/ysten-business/live/yunnanstv/1.m3u8
新疆卫视,http://121.31.30.91:8081/ysten-business/live/xinjiangstv/1.m3u8
西藏卫视,http://121.31.30.91:8081/ysten-business/live/xizangstv/1.m3u8
中国教育1,http://121.31.30.91:8081/ysten-business/live/jiaoyutv/1.m3u8
炫动卡通,http://121.31.30.91:8081/ysten-business/live/xuandongkaton/1.m3u8
青海卫视,http://121.31.30.91:8081/ysten-business/live/qinghaistv/1.m3u8
内蒙古卫视,http://121.31.30.91:8081/ysten-business/live/neimenggustv/1.m3u8
卡酷少儿,http://121.31.30.91:8081/ysten-business/live/kakukaton/1.m3u8
河北卫视,http://121.31.30.91:8081/ysten-business/live/hebeistv/1.m3u8
金鹰卡通,http://121.31.30.91:8081/ysten-business/live/jinyingkaton/1.m3u8
优漫卡通,http://121.31.30.91:8081/ysten-business/live/youmankaton/1.m3u8
四川卫视,http://121.31.30.91:8081/ysten-business/live/sichuanstv/1.m3u8
爱我中华,#genre#
ViuTV,P2p://147.135.39.171:9906/5d9a2e7b000d28609cc0d68b68a05dd1.ts
ViuTVsix,P2p://147.135.39.171:9906/5d9a2e7c0000af799cc0d74673341867.ts
HBOHD,P2p://147.135.39.171:9906/5e59fae3000b3dac3b0c57342fd33ba0.ts
HBOSignat,P2p://147.135.39.171:9906/5eb3cc99000aa55e13ec5a6e1cb7093f.ts
HBOHits,P2p://147.135.39.171:9906/5eb3cc990005815c13ec59265dc86656.ts
TVB星河,P2p://147.135.39.171:9906/5ea53a9a000d39fddb01fd3f19aa567e.ts
卫视卡式,P2p://147.135.39.171:9906/5ec62ecd0005c21e5bbc173f4d127405.ts
卫视西片,P2p://147.135.39.171:9906/5ea1e2fc000b1e57cdf3a933489b3aee.ts#P2p://
/147.135.39.171:9906/5e7cf2710006c39d3da7c01341645170.ts
卫视中文台,P2p://147.135.39.171:9906/5defdaa1000b1a3d6ea06a9c17f77c44.ts
卫视电影,P2p://147.135.39.171:9906/5ec628ed000d69cb5ba526333d1a1d98.ts
有线电影,P2p://147.135.39.171:9906/5f15d56b0009f5ef1490e1e012d438e5.ts
龙祥电影,P2p://147.135.39.171:9906/5e7cf98e000cd16b3dc38ae278e073ec.ts
卫视電影,P2p://147.135.39.171:9906/5d9a250b000845289c9bf7d246ac3362.ts
星卫電影,P2p://147.135.39.171:9906/5e9b4b1300069e38b43241e231037404.ts
凤凰电影,P2p://147.135.39.171:9906/5e9b4e750002f3b7b43f77c81486506f.ts
美亚电影,p8p://user3.shusongw.mobi:16871/5f37cca000079b3d4270803e898f13d3#P2p
p://147.135.39.171:9906/5e7cf98e00020cab3dc388220eeb0f7e.ts
好萊塢電影,P2p://147.135.39.171:9906/5e7cf98e0006ee193dc3896b4e817161.ts
福斯動作電影,P2p://147.135.39.171:9906/5ea13fe100005a81cb7684fc6e2766c4.ts
福斯優質影院,P2p://147.135.39.171:9906/5ea13bb0000c242fcb66289275e41d0b.ts
福斯家庭影院,P2p://147.135.39.171:9906/5d9a33bb000a299f9cd557cf4d121c23.ts
福斯犯罪影院,P2p://147.135.39.171:9906/5ea13bb10001df6fcb6629da1a076a80.ts
国家地理频道悠人,P2p://147.135.39.171:9906/5ea1441e000473decb87144e4b600a
a26.ts
国家地理频道野生,P2p://147.135.39.171:9906/5ea13fdf000c8069cb7680495d882a
a82.ts
国家地理频道,P2p://147.135.39.171:9906/5ea13fdf0004d36ecb767e555c896a66.ts
探索動力频道,P2p://147.135.39.171:9906/5e9b4b11000d8f76b4323bd8404c1e97.ts
探索频道亞洲,P2p://147.135.39.171:9906/5ea13bb1000a50e9cb662c0c47e9549f.ts
探索科學频道,P2p://147.135.39.171:9906/5ea13fe1000b88c3cb7687db43d01a4a.ts
動物星球,P2p://147.135.39.171:9906/5ea13bb00003dd3ccb66267f33fc00d1.ts
探索頻道,P2p://147.135.39.171:9906/5ea13fde000ec14fcb767cee2fe05289.ts
MTV音乐,P2p://147.135.39.171:9906/5e975a500008d0a0a4cdb69671c34c21.ts
爱我二区,#genre#
TVBS新闻,P2p://147.135.39.171:9906/5ea4852100052c6fd83d1a840a5e74b2.ts
TVBS欢乐,P2p://147.135.39.171:9906/5ea13fd1000849aacb76488073a656f2.ts
壹综合,P2p://147.135.39.171:9906/5ee385f50006a708ce58bfde6dca70d4.ts
壹新闻,P2p://147.135.39.171:9906/5ede0911000cbd09b8e8e6d42be1693c.ts
民视,P2p://147.135.39.171:9906/5ea4852c00050ce0d83d456d45c920f7.ts
中视,P2p://147.135.39.171:9906/5e7cf2610003655a3da780b8383c7868.ts
台视,P2p://147.135.39.171:9906/5e59fad5000832893b0c1fb83c050635.ts
华视,P2p://147.135.39.171:9906/5e7cf2610009c2c53da7824e77346905.ts
公视,P2p://147.135.39.171:9906/5e9e760d00082ccec09222e0768b3cba.ts
民视新闻,P2p://147.135.39.171:9906/5ea522940007279ddaa4243912175fe1.ts
中天娱乐,P2p://147.135.39.171:9906/5defdaa0000974136ea066475c980b2d.ts
中天新闻,P2p://147.135.39.171:9906/5d9a3461000c5e329cd7e0cc2586313a.ts
中天新闻,P2p://147.135.39.171:9906/5eec7db90008195bf160a77f5d316f05.ts
中天亚洲,P2p://147.135.39.171:9906/5defdaa000044ff26ea064ef7ec56d18.ts
寰宇新闻,P2p://147.135.39.171:9906/5cc68d1700042feefadeb4a262de7324.ts
三立新闻,P2p://147.135.39.171:9906/5ea13bb00007ef12cb662788049d46cf.ts
东森综合,P2p://147.135.39.171:9906/5eb29b860006eefb0f44a74c7d3950ab.ts
东森新闻,P2p://147.135.39.171:9906/5f167315000ed32216f8c32859024c90.ts
东森亚洲,P2p://147.135.39.171:9906/5ede6859000be2b3ba5d17d529f60875.ts
东森财经,P2p://147.135.39.171:9906/5eec88f90004b79cf18c98952f812d55.ts
东森电影,P2p://147.135.39.171:9906/5defe13e0007d9d56eba3f090a5f5661.ts
东森洋片,P2p://147.135.39.171:9906/5ea13baf000efb4ecb66256578d5166f.ts
东森超视,P2p://147.135.39.171:9906/5e7cf271000168dd3da7beac2d47191e.ts
东森幼幼,P2p://147.135.39.171:9906/5e7cf98d000118463dc383fc2a2c3dc9.ts
纬来戏剧,P2p://147.135.39.171:9906/5dfb22fe0007e7e5170148dc58a73c8f.ts
纬来电影,P2p://147.135.39.171:9906/5e9b449a00082550b418f99837b132a5.ts
纬来日本,P2p://147.135.39.171:9906/5e9b449a0002edbbb418f850343a565d.ts
纬来育乐,P2p://147.135.39.171:9906/5e9e72fe00062f43c0862fbb1fb33e3f.ts
纬来体育,P2p://147.135.39.171:9906/5e9b4499000c2343b418f6ba6f8227e4.ts
八大综合,P2p://147.135.39.171:9906/5e9e749a000d3deac08c7af061bf4966.ts
八大第一,P2p://147.135.39.171:9906/5e9e749b00040aaac08c7c7774062e4f.ts
八大娱乐,P2p://147.135.39.171:9906/5e9e749b00099094c08c7dde5ba80b06.ts
八大戏剧,P2p://147.135.39.171:9906/5e9e749a0007249ec08c795a648451d4.ts
非凡新闻,P2p://147.135.39.171:9906/5e5a0a88000184ac3b49713b638b501b.ts
天映经典,P2p://147.135.39.171:9906/5e7cf98f00024e183dc38c1a5eb34315.ts
天映频道,P2p://147.135.39.171:9906/5e7cfab00001b8d03dc7f4e34dfd4368.ts
卫视卡式,P2p://147.135.39.171:9906/5ec62ecd0005c21e5bbc173f4d127405.ts
卫视西片,P2p://147.135.39.171:9906/5e7cf2710006c39d3da7c01341645170.ts
卫视中文,P2p://147.135.39.171:9906/5defdaa1000b1a3d6ea06a9c17f77c44.ts
龙祥时代,P2p://147.135.39.171:9906/5e7cf98e000cd16b3dc38ae278e073ec.ts
好莱坞,P2p://147.135.39.171:9906/5e7cf98e0006ee193dc3896b4e817161.ts
美亚电影,P2p://147.135.39.171:9906/5e7cf98e00020cab3dc388220eeb0f7e.ts
华纳电影,P2p://147.135.39.171:9906/5defdaa0000d7e3f6ea0675076d26f43.ts
星卫电影,P2p://147.135.39.171:9906/5e9b4b1300069e38b43241e231037404.ts
高点综合,P2p://147.135.39.171:9906/5ede79e400080386baa19dd37ef10dd6.ts
动物星球,P2p://147.135.39.171:9906/5ea13bb00003dd3ccb66267f33fc00d1.ts
佛卫慈悲,P2p://147.135.39.171:9906/5ede79e4000e493cbaa19f79282b2078.ts
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱一台,P2p://147.135.39.171:9906/5e6003e8000acb9e529f929c58ca20eb.ts
大爱二台,P2p://147.135.39.171:9906/5ee385f4000c2291ce58bd5d3ac82d3f.ts
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱海外,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
好消息1台,http://live-350k.streamingfast.net/hls-
live/goodtv/_definst_/liveevent/live-ch1-1.m3u8 好消息2台,http://live-
350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
探索频道,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=tspd
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
探索频道,P2p://147.135.39.171:9906/5ea13fde000ec14fcb767cee2fe05289.ts
探索动力,P2p://147.135.39.171:9906/5e9b4b11000d8f76b4323bd8404c1e97.ts
探索亚洲,P2p://147.135.39.171:9906/5ea13bb1000a50e9cb662c0c47e9549f.ts
探索科学,P2p://147.135.39.171:9906/5ea13fe1000b88c3cb7687db43d01a4a.ts
国家地理,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=gjdl
国家地理,rtmp://58.200.131.2:1935/livetv/natlgeo
国家地理,P2p://147.135.39.171:9906/5ea13fdf0004d36ecb767e555c896a66.ts
地理野生,P2p://147.135.39.171:9906/5ea13fdf000c8069cb7680495d882a82.ts
NHK电视,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=nhk
AXN频道,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=axn
CNN,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=cnn BBC world
news,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=bbc
法国TV5Monde,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=tv5
俄罗斯TV,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=els
HBO,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=hbo
CINEMAX,http://cdn.chxjon.cn/QQ2383132354/gzyx.php?id=cinemax
CINEMAX,P2p://147.135.39.171:9906/5d9a26b0000b16229ca2651679a25739.ts
MO亲子台,P2p://147.135.39.171:9906/5cc68d17000c69a4fadeb6c56c456357.ts HBO
强档,P2p://147.135.39.171:9906/5eb3cc990005815c13ec59265dc86656.ts HBO
原创,P2p://147.135.39.171:9906/5eb3cc99000aa55e13ec5a6e1cb7093f.ts
FOX,P2p://147.135.39.171:9906/5ea13fe000031a3acb7681c056f53bb5.ts
FOX,P2p://147.135.39.171:9906/5ee3894d000983f2ce65d05916fb74df.ts
FOX犯罪影院,P2p://147.135.39.171:9906/5ea13bb10001df6fcb6629da1a076a80.ts
FOX家庭影院,P2p://147.135.39.171:9906/5ea13bb0000c242fcb66289275e41d0b.ts
FOX经典电影,P2p://147.135.39.171:9906/5d9a33bb000a299f9cd557cf4d121c23.ts
FOX动作影院,P2p://147.135.39.171:9906/5ea13fe100005a81cb7684fc6e2766c4.ts
FOX体育1,P2p://147.135.39.171:9906/5e5a0c21000ae2fd3b4fb144005e7ca2.ts
FOX体育2,P2p://147.135.39.171:9906/5e5a0c1500031eca3b4f80701a63557e.ts
FOX体育3,P2p://147.135.39.171:9906/5e5a0a86000b5a873b496bec12b01e3b.ts
ELTA体育1,P2p://147.135.39.171:9906/5e7cf98c00060e963dc3815c316636de.ts
ELTA体育2,P2p://147.135.39.171:9906/5e7cf264000a88743da78e456d1b6180.ts
ELTA体育3,P2p://147.135.39.171:9906/5e7cf98d000729c73dc38592441f1b5a.ts
博斯无限,P2p://147.135.39.171:9906/5defdab600015d2f6ea0ba230ef664fe.ts
博斯高球,P2p://147.135.39.171:9906/5defe13d000eb2006eba3ce647e056da.ts
博斯运动,P2p://147.135.39.171:9906/5defdab60006b85e6ea0bb7b06aa7d1f.ts
迪士尼中文,P2p://147.135.39.171:9906/5ece9f9a00077db97cb4ca673b8f3103.ts
迪士尼中文,P2p://147.135.39.171:9906/5dea93920003218e5a02c4ca21f02f09.ts
迪士尼粤语,P2p://147.135.39.171:9906/5ece9f9a0001c4dd7cb4c8f0195f26a2.ts
CN卡通中文,P2p://147.135.39.171:9906/5defe14000091d616eba47377b3a16c4.ts
CN卡通英语,P2p://147.135.39.171:9906/5dea93910003206a5a02c0e279871b82.ts
Z频道,P2p://147.135.39.171:9906/5e9b4b1200093ac2b4323ea63695594b.ts
OutDoor,P2p://147.135.39.171:9906/5eb2a08a0005f30e0f583eae16ae002e.ts
AXN,P2p://147.135.39.171:9906/5e7cf98f000d3ec43dc38ee9739950cb.ts
Thrill,P2p://147.135.39.171:9906/5ed15ffd0002a6fa87745cbf1c0f1bd0.ts BBC
Cbeebies,P2p://147.135.39.171:9906/5dea93910008156c5a02c21b24cc6be4.ts Nick
Jr,P2p://147.135.39.171:9906/5dea9391000dacc55a02c39228854fcb.ts
AnimaxHD,P2p://147.135.39.171:9906/5d9a25ad00050d2e9c9e6fc864b540d4.ts
nickelodeon,P2p://147.135.39.171:9906/5d0e403800011a4910fbd8d44f7a61bc.ts
KIX,P2p://147.135.39.171:9906/5ed1603f000d135b8775612e2a3f7c34.ts
Mediacorp5,P2p://147.135.39.171:9906/5ea29be000056759d0c5e25c6faf4d5e.ts
Mediacorp8,P2p://147.135.39.171:9906/5ea29be0000e37c8d0c5e49e1d7e2fe9.ts
Suria,P2p://147.135.39.171:9906/5ea53aef000da536db0349674f85730c.ts
Vasantham,P2p://147.135.39.171:9906/5ea53b31000978a0db044a1d66cb6b06.ts
HITS,P2p://147.135.39.171:9906/5ed1603f0006f0c387755fa818635fdb.ts
MediacorpU,P2p://147.135.39.171:9906/5ea29be100062894d0c5e6736df27aa0.ts
MTV,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvS
Seid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_id
dx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id
d=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
MTV,P2p://147.135.39.171:9906/5e975a500008d0a0a4cdb69671c34c21.ts Channel
V,rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
MTV音乐,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype
e=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls
s_se_idx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provi
ider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1 MTV音乐,http://unilivemtveu-
lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
HBO2台,http://161.0.157.5/PLTV/88888888/224/3221227026/03.m3u8？fluxustv.m3u8
亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&IASHttp
pSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=z
zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153
日本NHK华语,https://nhkw-zh-
hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
日本NHK华语,https://nhkw-zh-
hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
日本天気预报,http://movie.mcas.jp/mcas/wn1_2/master.m3u8
日本NHK英语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-
ojp/index_1M.m3u8 日本Japan News 24,http://www.news24.jp/livestream/index.m3u8
日本JapanetChannelDX,http://bcsecurelivehls-
i.akamaihd.net/hls/live/265320/5043843989001/140130JTDX/index_1200.m3u8
日本QVC Japan,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8 韩国EBS
第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlis
st.m3u8 韩国EBS
少儿频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
8 韩国KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国KOREA
YTN,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
韩国KTV
韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国EBS
儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chu
unklist_w1965791004.m3u8
韩国阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arira
ang_1ch/master.m3u8 Luxury World,http://nano.teleservice.su:8080/hls/luxury.m3u8
韩国BBS佛教广播,http://bbstv.clouducs.com:1935/bbstv-
live/livestream/chunklist_w1403706733.m3u8
韩国阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1c
ch.smil/playlist.m3u8 CPAC,http://bcoveliveios-
i.akamaihd.net/hls/live/248519/1242843915001_1/master.m3u8
狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-
AT/master_1660.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FOX 体育新闻,https://austchannel-
live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebb
be/index_4.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66eb
bbe/index_3.m3u8 越南人民报,http://vietcago.net/vstv/thnd.m3u8
印度音乐电视,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
法国第五世界台,http://v3plusinfo247hls-i.akamaihd.net/hls/live/218877-
b/v3plusinfo247hls/v3plusinfo247hls_1_1.m3u8 法国24台 (英语),http://f24hls-
i.akamaihd.net/hls/live/221193-b/F24_EN_LO_HLS/master_900.m3u8 法国24台
(法语),http://f24hls-
i.akamaihd.net/hls/live/221192/F24_FR_LO_HLS/master_900.m3u8
俄罗斯时尚频道,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
西班牙皇马足球,http://rmtv24hweblive-
lh.akamaihd.net/i/rmtv24hwebes_1@300661/index_3_av-p.m3u8
西班牙中国环球,http://livees.cgtn.com/1000e/prog_index.m3u8
意大利意大利电台,http://radioitaliatv-
lh.akamaihd.net/i/radioitaliatv_1@329645/index_720x480_av-p.m3u8 意大利V2
音乐频道,http://de1se01.v2beat.live/playlist.m3u8
墨西哥墨西哥电视,http://bcoveliveios-
i.akamaihd.net/hls/live/201661/57828478001/milenio_center_512k@51752.m3u8
音乐20TV,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-p.m3u8
WSVI-TV,http://dcunilive30-
lh.akamaihd.net/i/dclive_1@534251/master.m3u8?fluxustv.m3u8
酷酷频道,http://edge1.tikilive.com:1935/unrestricted_tikilive/25947/amlst:NWK
Klw6jwyXpz/chunklist_w981409619_b1105254.m3u8?fluxustv.m3u8
NBC电视,http://161.0.157.51/PLTV/88888888/224/3221227040/index.m3u8?fluxustv.m3
3u8 Jewelry电视,http://wowzaprod134-
i.akamaihd.net/hls/live/577814/ccddaf02/playlist.m3u8
Free电视,https://edge.free-speech-tv-live.top.comcast.net/out/u/fstv.m3u8
Darcizzle电视,http://30a-tv.com/darcizzle.m3u8
